ID,Comune,Classe-priorità,X,Y
14070078-001/1,Termoli,2,14.990122934235123,41.996919862966166
14070078-003/1,Termoli,4,14.993431244172347,41.995280946261623
14070078-004/1,Termoli,2,15.003620654931156,41.988688439201852
14070078-004/2,Termoli,4,15.003620654931156,41.988688439201852
14070078-005/1,Termoli,4,15.005383048140018,41.9873554357481
14070078-006/1,Termoli,4,15.009414752948985,41.985698008111569
14070078-007/1,Termoli,4,14.99836927038646,41.991921756566946
14070078-009/1,Termoli,4,14.996376801793776,42.000477735370637
14070078-010/1,Termoli,2,15.007286497939395,41.952923935871233
14070078-011/1,Termoli,5,15.003004993726083,41.988886596799041
14070078-011/2,Termoli,3,15.003004993726083,41.988886596799041
14070078-011/3,Termoli,3,15.003004993726083,41.988886596799041
14070078-012/1,Termoli,4,15.003004986121523,41.988724481061894
14070078-013/1,Termoli,4,14.991209679214576,41.995974279895165
14070078-014/1,Termoli,4,15.013526667276212,41.964649705040266
14070078-015/1,Termoli,4,14.948136150323451,42.005788778354912
14070078-015/2,Termoli,4,14.948136150323451,42.005788778354912
14070078-015/3,Termoli,4,14.948136150323451,42.005788778354912
14070078-015/4,Termoli,4,14.948136150323451,42.005788778354912
14070078-016/1,Termoli,5,15.002872193317661,41.988688459728969
14070078-017/1,Termoli,4,15.003620654931156,41.988688439201852
14070078-017/2,Termoli,2,15.003620654931156,41.988688439201852
14070078-018/1,Termoli,4,14.988806651510121,41.998450813343467
14070078-018/2,Termoli,4,14.988806651510121,41.998450813343467
14070078-019/1,Termoli,4,15.007406597014892,41.948096494561959
14070078-020/1,Termoli,4,14.996195887954004,41.997208428077698
14070078-020/2,Termoli,4,14.996195887954004,41.997208428077698
14070078-021/1,Termoli,4,14.988806651510121,41.998450813343467
14070078-021/2,Termoli,4,14.988806651510121,41.998450813343467
14070078-022/1,Termoli,4,15.013526667276212,41.964649705040266
14070078-022/2,Termoli,4,15.013526667276212,41.964649705040266
14070078-023/1,Termoli,4,14.915208995338554,42.004391185642547
14070078-024/1,Termoli,4,15.009342299922205,41.985526889875175
14070078-025/1,Termoli,4,15.006855660903005,41.986085458767306
14070078-026/1,Termoli,4,14.989253489549727,41.997811408103338
14070078-027/1,Termoli,3,14.989253489549727,41.997811408103338
14070078-027/2,Termoli,3,14.989253489549727,41.997811408103338
14070078-028/1,Termoli,4,15.001145837255391,41.98454557015797
14070078-028/2,Termoli,4,15.001145837255391,41.98454557015797
14070078-029/1,Termoli,4,15.000771685754115,41.989724222327766
14070078-030/1,Termoli,3,14.935847673491638,41.989751286888108
14070078-032/1,Termoli,4,15.009342299922205,41.985526889875175
14070078-033/1,Termoli,4,15.001820986671948,41.953743736720327
14070078-034/1,Termoli,3,14.948136150323451,42.005788778354912
14070078-035/1,Termoli,2,15.001145837255391,41.98454557015797
14070078-036/1,Termoli,2,15.005539459438374,41.981249112321997
14070078-037/1,Termoli,4,14.985318657978201,41.992686362532396
14070078-038/1,Termoli,4,15.012996351487029,41.96786504502677
14070078-038/2,Termoli,4,15.012996351487029,41.96786504502677
14070078-038/3,Termoli,4,15.012996351487029,41.96786504502677
14070078-039/1,Termoli,3,15.011297490725422,41.983428239679441
14070078-040/1,Termoli,3,14.986065258159689,42.001377574392968
14070078-041/1,Termoli,4,15.022465695905256,41.956299388889853
14070078-042/1,Termoli,4,15.021634867421493,41.961388161573844
14070078-043/1,Termoli,4,15.001820986671948,41.953743736720327
14070078-044/1,Termoli,3,15.012094156600387,41.98333809150671
14070078-044/2,Termoli,4,15.012094156600387,41.98333809150671
14070078-044/3,Termoli,4,15.012094156600387,41.98333809150671
14070078-045/1,Termoli,3,14.983146867979649,41.987795616846007
14070078-046/1,Termoli,4,14.901776356369925,41.992167880394426
14070078-046/2,Termoli,4,14.901776356369925,41.992167880394426
14070078-047/1,Termoli,4,15.022465695905256,41.956299388889853
14070078-049/1,Termoli,4,15.009149198927014,41.98581510784458
14070078-051/1,Termoli,2,14.982348462387687,41.993802726674993
14070078-052/1,Termoli,3,14.995640530335061,41.996830145137245
14070078-054/1,Termoli,4,14.990122934235123,41.996919862966166
14070078-054/2,Termoli,4,14.990122934235123,41.996919862966166
14070078-055/1,Termoli,3,15.003161195313361,41.973611804547907
14070078-055/2,Termoli,3,15.003161195313361,41.973611804547907
14070078-055/3,Termoli,3,15.003161195313361,41.973611804547907
14070078-055/4,Termoli,3,15.003161195313361,41.973611804547907
14070078-055/5,Termoli,3,15.003161195313361,41.973611804547907
14070078-055/6,Termoli,3,15.003161195313361,41.973611804547907
14070078-055/7,Termoli,3,15.003161195313361,41.973611804547907
14070078-056/1,Termoli,3,15.002522122702626,41.989084749318529
14070078-059/1,Termoli,4,15.000976914365745,41.98985031276397
14070078-060/1,Termoli,4,14.980776319349209,42.002619676323597
14070079-001/1,Torella del Sannio,2,14.511233391097552,41.616188079740681
14070079-002/1,Torella del Sannio,4,14.515767115027783,41.63905773074579
14070079-002/2,Torella del Sannio,4,14.515767115027783,41.63905773074579
14070081-005/1,Trivento,4,14.567502228351811,41.752128065612226
14070081-006/1,Trivento,4,14.550570956676413,41.782658720029374
14070082-001/1,Tufara,3,14.975108836255858,41.486685774504259
14070083-001/1,Ururi,3,15.017539540267039,41.811367384755741
14070083-002/1,Ururi,3,15.017503421885394,41.811340371332122
14070083-003/1,Ururi,3,15.017527573299841,41.811628586434679
14070083-004/1,Ururi,2,15.016083367247617,41.813340048752927
14070084-002/1,Vinchiaturo,2,14.588217624387294,41.491175185118053
14070084-002/2,Vinchiaturo,4,14.588217624387294,41.491175185118053
14070084-005/1,Vinchiaturo,4,14.597846931721664,41.489542947337277
14070084-006/1,Vinchiaturo,4,14.597764475432058,41.489317481553613
14070084-007/1,Vinchiaturo,4,14.617692578838112,41.488052413931534
14070084-009/1,Vinchiaturo,4,14.596665627163294,41.498455840676442
14070084-010/1,Vinchiaturo,2,14.587622396278395,41.496253058545079
14070084-012/1,Vinchiaturo,3,14.561510259240054,41.488509418538385
14094002-001/1,Agnone,3,14.372850040198706,41.805197964607864
14094002-002/1,Agnone,2,14.31240352565467,41.755171557639493
14094002-004/1,Agnone,2,14.37402352693897,41.807068732331963
14094002-005/1,Agnone,2,14.378760332603152,41.808940800272588
14094002-006/1,Agnone,3,14.37874551028921,41.809228927579007
14094002-007/1,Agnone,3,14.372344545855986,41.811355703741356
14094005-001/1,Cantalupo Nel Sannio,3,14.365469135939236,41.538790773741063
14094005-002/1,Cantalupo Nel Sannio,3,14.393584826912898,41.528071044789165
14094010-001/1,Castelpetroso,3,14.340697407393289,41.558151490826319
14094011-001/1,Castelpizzuto,2,14.291457478931639,41.517822549163149
14094015-001/1,Chiauci,4,14.380463134985417,41.67453432051159
14094015-001/2,Chiauci,4,14.380463134985417,41.67453432051159
14094015-002/1,Chiauci,4,14.38009429574643,41.674163053824778
14094015-003/1,Chiauci,3,14.382657658763259,41.676194373137712
14094015-004/1,Chiauci,3,14.381132861936871,41.678608995171274
14094017-005/1,Colli A Volturno,2,14.102798691268216,41.599909108545035
14094017-006/1,Colli A Volturno,2,14.103103972823291,41.598659538755584
14094017-009/1,Colli A Volturno,3,14.136970150449727,41.571222694564618
14094017-011/1,Colli A Volturno,2,14.102287627404211,41.597824531922114
14094017-018/1,Colli A Volturno,3,14.097645776060807,41.60459734972693
14094017-020/1,Colli A Volturno,2,14.088374386122982,41.605127646965229
14094017-024/1,Colli A Volturno,2,14.102368660000838,41.600635303724452
14094017-024/2,Colli A Volturno,2,14.102368660000838,41.600635303724452
14094017-025/1,Colli A Volturno,2,14.123405119737416,41.591628685145615
14094017-025/2,Colli A Volturno,3,14.123405119737416,41.591628685145615
14094017-026/1,Colli A Volturno,2,14.123031284521085,41.59176994417129
14094017-026/2,Colli A Volturno,2,14.123031284521085,41.59176994417129
