Id_Regione;ID_Unità;Provincia;Comune - Frazione;Categoria;Descrizione materiali;Tipologia;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato (Kg);Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta all’aria (m2);Effettiva superficie con amianto friabile  (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture edili;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano (m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi Totali stimati dell intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio Mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
117;A66993;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;5;3000;5;;;1;5;1;;1;1;5;3;0.56;4;2;-;-;;;;4;0,4;293;0;0
117;A66994;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;15;;;1;3;1;2;9;10700;8;;;1;30;1;;1;1;5;3;0.49;4;2;-;-;;;;4;0,4;477;0;0
117;A66995;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;15;;;1;3;1;2;9;10700;8;;;1;30;1;;1;1;5;3;0.49;4;2;-;-;;;;4;0,4;477;0;0
117;A67001;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;9;10700;5;;;1;30;1;;1;1;5;3;0.49;4;2;-;-;;;;4;0,4;421;0;0
117;A67002;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;9;10700;5;;;1;30;1;;1;1;5;3;0.49;4;2;-;-;;;;4;0,4;421;0;0
117;A67004;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;9;10700;8;;;1;30;1;;1;1;5;3;0.49;4;2;-;-;;;;4;0,4;442;0;0
117;A67005;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;9;10700;5;;;1;30;1;;1;1;5;3;0.49;4;2;-;-;;;;4;0,4;421;0;0
117;A67041;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;10;;;1;1;1;2;9;61000;5;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;379;0;0
117;A67042;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;61000;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A67043;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;10;;;1;1;1;2;9;61000;5;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;379;0;0
117;A67047;No;Briga Novarese;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;3;1;2;9;10700;5;;;1;30;1;;1;1;5;3;0.49;4;2;-;-;;;;4;0,4;421;0;0
117;A68013;To;Torino;2;lastre;VENDITA E LAVORAZIONE LEGNO PER BRICOLAGE;1;2,5;1;2,5;15;;;1;1;5;2;5;3613;8;;;1;30;1;;1;1;10;5;0;4;2;-;-;;;;4;0,4;461;0;0
