Id_Regione;Id_Unità;Provincia;Comune;Categoria;Tipologia;Descrizione materiali;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato;Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Presenza di cause che creano o favoriscono la dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta allaria;Effettiva superficie con amianto friabile (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano(m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi totali stimati dell’intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
113;70;BZ;BRUNICO;2;Edifici residenziali;copertura;1;1;1;1;10;;9350;1;1;1;2;3;;8;0;550;1;30;1;;1;1;10;5;0;4;2;C;C;8247;0;8247;5;0,3;157,5;722820;5186071
113;71;BZ;LAIVES;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;15;;35700;1;1;1;2;5;;8;0;2100;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;255;678838;5142743
113;73;BZ;CHIENES;2;Edifici residenziali;copertura;1;1;1;1;10;;3400;1;1;1;2;3;;5;0;200;1;30;1;;1;1;10;5;0;4;2;C;C;2999;0;2999;5;0,3;152,1;716430;5186469
113;78;BZ;CHIENES;2;Edifici residenziali;copertura;1;1;1;2,5;10;;5950;1;3;1;2;3;;5;0;350;1;5;3;;1;1;5;5;0;4;2;;;;0;;4;0,4;343;716438;5186343
113;79;BZ;CHIENES;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;10;;5950;1;3;1;2;3;;5;0;350;1;30;3;;1;1;5;5;0;4;2;;;;0;;4;0,4;443;716410;5186354
113;80;BZ;CHIENES;2;Edifici residenziali;copertura;1;1;1;2,5;10;;4250;1;1;1;2;3;;5;0;250;1;30;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;273;716377;5186368
113;81;BZ;CHIENES;2;Edifici residenziali;copertura;1;1;1;2,5;15;;10200;1;3;1;2;5;;8;0;600;1;30;3;;1;1;5;5;0;4;2;;;;0;;4;0,4;513;716384;5186337
113;82;BZ;CHIENES;2;Edifici residenziali;copertura;1;1;1;1;10;;3400;1;1;1;2;3;;5;0;200;1;30;1;;1;1;10;5;0;4;2;C;C;2999;0;2999;5;0,3;152,1;716414;5186458
113;83;BZ;SAN LORENZO DI SEBATO;2;Edifici residenziali;copertura;1;1;1;2,5;10;;2040;1;1;1;2;3;;5;0;120;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;213;721058;5184545
113;89;BZ;PERCA;2;Edifici residenziali;copertura;1;1;1;1;10;;3910;1;1;1;2;3;;5;0;230;1;30;1;;1;1;10;3;0;2;2;C;C;3449;0;3449;5;0,3;126,9;726580;5186267
113;90;BZ;SAN LORENZO DI SEBATO;2;Edifici artigianali e di servizi;copertura;1;1;2,5;2,5;10;;4760;1;1;1;2;5;;5;;280;1;5;1;;1;1;10;5;0;4;2;A;;4198;0;4198;3;0,7;482;722638;5185600
