"ID";"CODICE";"DENOMIAZIONE";"CAP";"CITTA'";"PROV";"GIS x";"GIS y";"GIS Z";"PUNTEGGIO SITO Hp1";"PUNTEGGIO SITO Hp2";"CLASSE DI PRIORITA'";"TIPOLOGIA DI MCA";"PRESENZA DI CONFINAMENTO";"ACCESSIBILITA'";"TIPOLOGIA DI ATTIVITA'";"i1";"i2";"i3";"i4";"i5";"i6";"i7";"i8";"i9";"i10";"i11";"i12";"i13";"i14";"i15";"i16"
275;"PR011EP0012";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";564849,87;4884373,27;;;316;4;1;2;2;2;5;1;3;1;;5;5;1;;3;;;5;5;4;
276;"PR011EP0013";"PROVINCIA DELLA SPEZIA";19122;"LA SPEZIA";"SP";1566622;4884374;;;918;1;1;2;1;1;5;1;1;5;;3;5;1;5;;;;20;5;4;2
277;"PR011EP0014";"PROVINCIA DELLA SPEZIA";;"LERICI";"SP";573299,55;4880906,87;;;740;2;1;2;1;2;10;1;3;1;;5;8;1;5;3;;;5;3;2;
278;"PR011EP0015";"PROVINCIA DELLA SPEZIA";;"LA SPEZIA";"SP";566210,31;4884134,06;;;626;2;2;2;1;1;5;1;1;1;;5;5;1;5;;;;20;5;4;2
279;"PR011EP0016";"PROVINCIA DELLA SPEZIA";;"SESTA GODANO";"SP";553907,7;4904722,86;;;460;3;2;2;1;2;5;1;1;1;;3;5;1;5;;;;20;5;4;2
280;"PR011EP0017";"PROVINCIA DELLA SPEZIA";19122;"SESTA GODANO";"SP";553892,25;4904729,57;;;460;3;2;2;1;2;5;1;1;1;;3;5;1;5;;;;20;5;4;2
281;"PR011EP0019";"PROVINCIA DELLA SPEZIA";19122;"VEZZANO LIGURE";"SP";0;0;;;507;3;2;2;1;2;10;1;3;1;;9;8;1;5;;;;;;;
282;"PR011EP0020";"PROVINCIA DELLA SPEZIA";;"ARCOLA";"SP";0;0;;;357;3;2;2;1;2;5;1;1;1;;3;5;1;5;;;;20;3;2;
283;"PR011EP0021";"PROVINCIA DELLA SPEZIA";;"BEVERINO";"SP";0;0;;;411;3;2;2;1;2;5;1;3;1;;3;5;1;5;;;;;3;2;
284;"PR011EP0022";"PROVINCIA DELLA SPEZIA";;"CARRODANO";"SP";0;0;;;247;3;2;2;1;2;5;1;1;1;;3;5;1;5;;;;;3;2;
285;"PR011EP0023";"PROVINCIA DELLA SPEZIA";;"CARRODANO";"SP";0;0;;;583;3;2;2;1;2;5;1;3;1;;3;5;1;5;;;;;5;4;
