ID;Id_Regione;ID_Unità;Provincia;Comune;Categoria;Descrizione materiali;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato (Kg);Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta all’aria (m2);Effettiva superficie con amianto friabile  (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture edili;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano (m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi Totali stimati dell intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio Mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
251;22;Tos362;GR;MASSA MARITTIMA;12;;1;1;2,5;2,5;15;;;1;3;1;2;3;780;5;;;1;5;3;;1;1;5;1;;2;2;;;;;;3;0,7;598;647458,110565;4765562,18293
50;22;Tos2641;AR;CIVITELLA IN VAL DI CHIANA;4;;1;2,5;2,5;2,5;10;;;1;1;1;2;3;10000;5;;;1;5;1;;1;1;20;1;;2;2;;;;;;2;0,8;596;726507,652568;4810130,59015
334;22;Tos10350;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
335;22;Tos10352;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
336;22;Tos10354;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
337;22;Tos10356;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
338;22;Tos10360;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
339;22;Tos10362;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
340;22;Tos10364;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
341;22;Tos10366;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
342;22;Tos10368;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
343;22;Tos10370;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
344;22;Tos10372;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
345;22;Tos10374;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;593;624859,730414;4754176,6191
53;22;Tos10065;LU;BAGNI DI LUCCA;14;;1;2,5;2,5;2,5;10;;;1;1;1;2;3;;5;;;1;5;1;;1;10;5;3;;4;2;;;;;;2;0,8;590;624555,964036;4873367,34184
43;22;Tos2143;PI;PISA;4;;1;2,5;2,5;2,5;5;;;1;1;1;2;3;90;5;;;3;5;1;;1;1;20;3;;2;2;;;;;;2;0,8;589;609343,523837;4838988,33727
370;22;Tos10080;LI;ROSIGNANO MARITTIMO;14;;1;1;2,5;2,5;10;;;1;1;1;2;3;;5;;;1;5;1;;1;10;20;5;;4;2;;;;;;3;0,7;588;617078,328774;4804663,87765
288;22;Tos10191;FI;PONTASSIEVE;10;;1;1;2,5;2,5;5;;;10;3;1;2;3;;5;;;1;5;3;;1;1;5;3;;2;2;;;;;;3;0,7;583;692477,265448;4854592,1649
368;22;Tos386;LI;CECINA;4;;1;1;2,5;2,5;10;;;1;3;1;2;3;0;5;;;1;5;1;;1;10;5;1;;2;2;;;;;;3;0,7;576;622848,057839;4796442,75837
45;22;Tos2210;GR;FOLLONICA;4;;1;2,5;2,5;2,5;10;;;1;1;1;2;3;10281;5;;;1;5;1;;1;1;10;5;;2;2;;;;;;2;0,8;572;641521,521861;4754582,147
63;22;Tos3296;FI;EMPOLI;15;;1;2,5;2,5;2,5;5;;;1;1;1;2;3;0;5;;;1;5;1;;1;1;5;5;;4;2;;;;;;2;0,8;572;657157,529757;4842517,12495
355;22;Tos10117;GR;SCARLINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;30;1;;1;1;10;1;;2;2;;;;;;3;0,7;571;646724,653488;4753370,0159
102;22;Tos3390;FI;FIRENZE;6;;1;2,5;2,5;2,5;10;;;1;1;1;2;3;1330;5;;;1;5;1;;1;1;5;3;;2;10;;;;;;2;0,8;560;682480,788365;4851055,30238
13;22;Tos3498;FI;FIGLINE VALDARNO;1;;2;2,5;2,5;2,5;5;;;1;1;1;2;3;0;5;;;1;5;1;;1;1;5;1;;2;2;;;;;;1;1,2;556;699885,527263;4831620,96961
351;22;Tos1140;SI;COLLE DI VAL D ELSA;11;;1;1;2,5;2,5;5;;;10;1;1;2;3;630;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;554;672705,109981;4808741,9407
347;22;Tos337;GR;FOLLONICA;13;;1;1;2,5;2,5;10;;;1;1;1;2;3;138;5;;;3;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;545;643695,569307;4753448,25753
348;22;Tos338;GR;FOLLONICA;13;;1;1;2,5;2,5;10;;;1;1;1;2;3;202;5;;;3;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;545;643695,569307;4753448,25753
36;22;Tos1026;FI;BORGO SAN LORENZO;4;;1;2,5;2,5;2,5;5;;;10;1;1;2;3;30;5;;;1;5;1;;1;1;10;3;;2;2;;;;;;2;0,8;540;692806,381272;4875919,49387
38;22;Tos8;AR;CASTEL SAN NICCOLO ;4;;1;2,5;2,5;2,5;5;;;10;1;1;2;3;240;5;;;1;5;1;;1;1;10;3;;2;2;;;;;;2;0,8;540;718549,501666;4847547,18802
256;22;Tos355;GR;MASSA MARITTIMA;12;;1;1;2,5;2,5;10;;;1;3;1;2;3;76;5;;;1;5;7;;1;1;5;1;;2;2;;;;;;3;0,7;539;647458,110565;4765562,18293
218;22;Tos1213;FI;FIRENZE;2;;1;2,5;2,5;2,5;5;;;1;1;1;2;3;25000;5;;;1;5;1;;1;1;20;1;;2;2;;;;;;2;0,8;536;681342,139397;4848955,09023
317;22;Tos10015;PT;PESCIA;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;3;;4;2;;;;;;3;0,7;534;632957,409308;4861556,56852
318;22;Tos10016;PT;PESCIA;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;3;;4;2;;;;;;3;0,7;534;632957,409308;4861556,56852
52;22;Tos10071;LU;BAGNI DI LUCCA;14;;1;2,5;2,5;2,5;5;;;1;1;1;2;3;;5;;;1;5;1;;1;10;5;3;;4;2;;;;;;2;0,8;530;624555,964036;4873367,34184
305;22;Tos10337;LU;ALTOPASCIO;14;;1;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;3;0,7;527;636273,68847;4852745,52315
306;22;Tos10339;LU;ALTOPASCIO;14;;1;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;3;0,7;527;636273,68847;4852745,52315
308;22;Tos10328;LU;ALTOPASCIO;14;;1;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;3;0,7;527;636273,68847;4852745,52315
309;22;Tos10329;LU;ALTOPASCIO;14;;1;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;3;0,7;527;636273,68847;4852745,52315
310;22;Tos10331;LU;ALTOPASCIO;14;;1;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;3;0,7;527;636273,68847;4852745,52315
312;22;Tos10333;LU;ALTOPASCIO;14;;1;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;3;0,7;527;636273,68847;4852745,52315
313;22;Tos10334;LU;ALTOPASCIO;14;;1;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;3;0,7;527;636273,68847;4852745,52315
314;22;Tos10335;LU;ALTOPASCIO;14;;1;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;3;0,7;527;636273,68847;4852745,52315
315;22;Tos10336;LU;ALTOPASCIO;14;;1;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;3;0,7;527;636273,68847;4852745,52315
316;22;Tos10340;LU;ALTOPASCIO;14;;1;1;2,5;2,5;15;;;10;1;1;2;3;;5;;;1;5;1;;1;1;10;3;;4;2;;;;;;3;0,7;527;636273,68847;4852745,52315
249;22;Tos358;GR;MASSA MARITTIMA;13;;1;1;2,5;2,5;10;;;1;3;1;2;3;231;5;;;1;5;3;;1;1;5;1;;2;2;;;;;;3;0,7;511;647458,110565;4765562,18293
17;22;Tos137;SI;SIENA;1;;1;2,5;2,5;2,5;10;;;10;1;1;2;3;10000;5;;;1;5;3;;1;1;5;1;;2;2;;;;;;2;0,8;509;686960,540734;4795274,52676
18;22;Tos138;SI;SIENA;1;;1;2,5;2,5;2,5;10;;;10;1;1;2;3;10000;5;;;1;5;3;;1;1;5;1;;2;2;;;;;;2;0,8;509;686960,540734;4795274,52676
294;22;Tos309;AR;SAN GIOVANNI VALDARNO;9;;1;1;2,5;2,5;10;;;10;1;1;2;3;500;5;;;1;5;1;;1;1;20;3;;2;2;;;;;;3;0,7;504;703218,839581;4827603,67177
538;22;Tos10200;LU;MASSAROSA;10;;1;1;1;2,5;10;;;10;3;1;2;3;;5;;;3;30;7;;1;1;5;5;;4;2;;;;;;4;0,4;499;605844,413438;4861564,35578
332;22;Tos10005;FI;FIRENZE;14;;1;1;2,5;2,5;5;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;2;;;;;;3;0,7;488;679865,078669;4852454,73053
383;22;Tos3613;LI;BIBBONA;15;;1;1;2,5;2,5;5;;;1;3;1;2;3;122;5;;;1;5;1;;1;10;5;1;;2;2;;;;;;3;0,7;488;626023,162896;4789184,25034
384;22;Tos392;LI;CASTAGNETO CARDUCCI;17;;1;1;2,5;2,5;5;;;1;3;1;2;3;0;5;;;1;5;1;;1;10;5;1;;2;2;;;;;;3;0,7;488;627400,508528;4780701,77442
371;22;Tos10064;PT;PESCIA;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;5;5;;4;2;;;;;;3;0,7;483;632741,41774;4862139,8113
