"Id_Regione";"Id_Unita";"Provincia";"Comune";"Id_categor";"Materiale";"A";"B";"C";"D";"Peso stima";"Peso_S1";"I1";"I2";"I3";"I4";"I5";"I6";"Superficie";"I7";"Effettiva";"Effettiv_1";"I8";"I9";"I10";"Data dismi";"I11";"I12";"I13";"I14";"Distanza c";"I15";"I16";"Punteggio";"Classe di";"Superfic_1";"Tipo di bo";"Tipo d'int";"Classed_1";"Costo_dell";"Fondi Loca";"Fondi da r";"Numero_pia";"Numero_van";"X";"Y"
"2";"Friuli2177";"PN";"FIUME VENETO";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;789003,5;5092189,2
"2";"Friuli2179";"PN";"FIUME VENETO";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;787782,9;5092634,0
"2";"Friuli2236";"PN";"PASIANO DI PORDENONE";"14";;1,0;1,0;2,5;2,5;;9000,0;10,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;518,7;3;;;;;;;;;;780717,8;5085711,9
"2";"Friuli2241";"UD";"REMANZACCO";"14";;1,0;1,0;2,5;2,5;;9000,0;10,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;518,7;3;;;;;;;;;;831910,9;5112537,5
"2";"Friuli2246";"UD";"SAN DANIELE DEL FRIULI";"14";;1,0;1,0;2,5;2,5;;1350,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;540,8;3;;;;;;;;;;809066,9;5118551,9
"2";"Friuli2250";"PN";"SAN QUIRINO";"14";;1,0;1,0;2,5;2,5;;3450,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;782567,6;5104126,0
"2";"Friuli2258";"GO";"VILLESSE";"14";;1,0;1,0;2,5;1,0;;225000,0;15,0;1;1,0;1;2;9;;10;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;200,3;5;;;;;;;;;;845498,7;5089195,0
"2";"Friuli2259";"UD";"SAN GIOVANNI AL NATISONE";"14";;1,0;1,0;2,5;2,5;;75000,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;571,2;3;;;;;;;;;;840928,6;5098654,5
"2";"Friuli2275";"PN";"SAN VITO AL TAGLIAMENTO";"14";;1,0;1,0;2,5;2,5;;57045,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;571,2;3;;;;;;;;;;801344,6;5094804,8
"2";"Friuli2282";"UD";"TOLMEZZO";"14";;1,0;1,0;2,5;2,5;;75000,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;571,2;3;;;;;;;;;;809373,1;5145242,4
"2";"Friuli2283";"UD";"UDINE";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;540,8;3;;;;;;;;;;825867,0;5108450,4
"2";"Friuli2289";"PN";"PORDENONE";"14";;2,5;1,0;2,5;2,5;50;;5,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;214,6;5;;;;;;;;;;782250,6;5092678,4
"2";"Friuli232";"UD";"ZUGLIO";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;809268,0;5152554,9
"2";"Friuli233";"GO";"CORMONS";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;845762,3;5097418,6
