"Id_Regione";"ID_Unita";"Provincia";"Comune";"Categoria";"Descrizione materiali";"Tipologia";"A - Friabilità";"B - Uso pubblico";"C - Accessibilità";"D - Presenza di confinamento";"I1 - Quantità di materiale stimato (Kg)";"Peso stimato friabile (kg)";"Peso stimato compatto (kg)";"I2 - Presenza di un programma di manutenzione e controllo";"I3 - Attività";"I4 - Dispersione di fibre";"I5 - Concentrazione di fibre aerodisperse (ff/l)";"I6 - Area di estensione del sito (m2)";"Effettiva area perimetrale (m2)";"I7 - Superficie esposta all’aria (m2)";"Effettiva superficie con amianto friabile  (m2)";"Effettiva superficie con amianto compatto (m2)";"I8 - Coinvolgimento del sito in lavori di urbanizzazione";"I9 - Stato di conservazione delle strutture edili";"I10 - Tempo trascorso dalla dismissione (anni)";"Data dismissione (gg-mm-aaaa)";"I11 - Tipologia di amianto presente";"I12 - Dati epidemiologici";"I13 - Frequenza di utilizzo";"I14 - Distanza dal centro urbano (m)";"Distanza dal centro urbano (km)";"I15 - Densità di popolazione";"I16 - Età media dei soggetti frequentatori (anni)";"Tipo di bonifica";"Tipo di intervento";"Costi Totali stimati dell'intervento (€)";"Fondi locali/regionali assegnati";"Fondi da richiedere";"Punteggio Mappatura";"Classe di priorità";"Coefficiente di priorità";"Punteggio Mappatura";"Coordinate X (WGS84-UTM fuso 32)";"Coordinate Y (WGS84-UTM fuso 32)"
3;"2T_0089";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;5431;10;1;5;2;3;;5;"0";319;1;5;1;;1;1;20;5;;2;2;0;0;9570;0;9570;226;4;0,4;226,2;364356;5064042
3;"2T_0092";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;3123;10;1;5;2;3;;5;"0";184;1;30;1;;1;1;20;5;;2;2;0;0;5520;0;5520;286;4;0,4;286,2;364421;5064267
3;"2T_0093";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;3497;10;1;5;2;3;;5;"0";206;1;30;1;;1;1;20;5;;2;2;0;0;6180;0;6180;286;4;0,4;286,2;364400;5064298
3;"2T_0094";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;1734;10;1;5;2;3;;5;"0";102;1;30;1;;1;1;20;3;;2;2;0;0;3060;0;3060;269;4;0,4;269,4;364602;5064489
3;"2T_0097";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;2241;10;1;5;2;3;;5;"0";132;1;5;1;;1;1;20;3;;2;2;0;0;3960;0;3960;209;4;0,4;209,4;364605;5064374
3;"2T_0098";"Aosta";"SARRE";2;;"Edifici residenziali";1;2,5;1;2,5;10;0;2556;10;1;5;2;3;;5;"0";150;1;5;1;;1;1;20;3;;2;2;2;3;0;0;0;289;4;0,4;288,6;364955;5064413
3;"2T_0099";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;2762;10;1;5;2;3;;5;"0";162;1;5;1;;1;1;20;3;;2;2;0;0;4860;0;4860;209;4;0,4;209,4;364901;5064541
3;"2T_0100";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;2823;10;1;5;2;3;;5;"0";166;1;30;1;;1;1;20;5;;2;2;0;0;4980;0;4980;286;4;0,4;286,2;364265;5064504
3;"2T_0101";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;10;0;2859;10;1;5;2;3;;5;"0";168;1;5;1;;1;1;20;3;;2;2;0;0;5040;0;5040;209;4;0,4;209,4;364188;5064565
3;"2T_0103";"Aosta";"SARRE";2;;"Edifici residenziali";1;1;1;2,5;5;0;210;10;1;5;2;3;;5;"0";12;1;5;1;;1;1;5;5;;2;2;0;0;360;0;360;169;4;0,4;169,2;363992;5064564
