provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 45 - C.le lag. Rossi,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,LR/A - Nodo 44,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 41 - Nodo 42,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,gabbro9,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Pozzaie 2 - N. 31,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,LR/B - Nodo 45,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,molinetto 1,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,LR/B - Nodo 45,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Scarzai 3 - Nodo 39,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 43 - Nodo 44,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Bagnolo LR - Nodo 43,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 42 - Nodo 43,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Meli 2 - Nodo 41,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 40 - Nodo 41,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 39 - Nodo 40,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,S. Andrea5,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,v113,"",IMPIANTO GEOTERMIA,""
provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
PI,POMARANCE,Enel - Unità territoriale di Lago,Cioccaia - Nodo 31,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,immis. molinetto2-c.le1,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,v141,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,ENEL - Unità territoriale di Larderello,immis. molinetto2-c.le2,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Scarzai 1 - Nodo 39,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,Enel - Unità territoriale di Lago,Meli 1 - Nodo 40,"",IMPIANTO GEOTERMIA,""
PI,POMARANCE,COMPAGNIA PISANA TRASPORTI,VIA DI POSSERA - LARDERELLO,"",officina riparazione bus,350
PI,POMARANCE,Enel - Unità territoriale di Lago,Nodo 44 - Nodo 45,"",IMPIANTO GEOTERMIA,""
PI,PONSACCO,POSTE ITALIANE S.p.A.,VIA ROSPICCIANO,17/19,Ufficio aperto al pubblico,272
PI,PONSACCO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),VECCHIA PONTEDERESE,"",impianto di riduzione gas metano,105
PI,PONTEDERA,ISTITUTO MAGISTRALE E. MONTALE,VIA SALCIOLI,1,Istituto statale,0
PI,PONTEDERA,IMPIANTI SPORTIVI: CAMPO SPORTIVO COMUNALE,PESCINE-I FABBRI,"",Impianto sportivo,100
PI,PONTEDERA,COMUNE DI PONTEDERA TUTELA AMBIENTALE,VIALE AMERICA,2,Magazzino,400
PI,PONTEDERA,SCUOLA MATERNA,FILIPPO CORRIDONI,3,Scuola,552
PI,PONTEDERA,IMPIANTI SPORTIVI: IMPIANTO DI CANOTTAGGIO,BOLOGNA,"",Impianto sportivo,150
PI,PONTEDERA,IMPIANTI SPORTIVI: PALESTRA SCUOLA IL ROMITO,U.DINI-IL ROMITO,"",Scuola,1300
PI,PONTEDERA,COMPAGNIA CARABINIERI,CASTELLI,30,caserma carabinieri,0
PI,PONTEDERA,IMPIANTI SPORTIVI: PALESTRA COMUNALE ESPERIA,ZARA-LA ROTTA,"",Impianto sportivo,300
PI,PONTEDERA,COMUNE DI PONTEDERA,PIAZZA GARIBALDI FRAZ. LA ROTTA,7,Ospedale/Casa di cura,200
PI,RIPARBELLA,COMUNE DI RIPARBELLA SCUOLA MEDIA STATALE,A. GRAMSCI,4,Scuola,400
PI,RIPARBELLA,COMUNE DI RIPARBELLA,CIMITERO VECCHIO,"",Autorimessa,200
PI,RIPARBELLA,GIARDINO UFFICI AZIENDALI,PORCARECCE,"",tettoia,30
PI,RIPARBELLA,POSTE ITALIANE S.p.A.,VIA MADONNA,5,Ufficio aperto al pubblico,47
PI,SAN GIULIANO TERME,POSTE ITALIANE S.p.A.,VIA VERRI,1,Ufficio aperto al pubblico,272
PI,SAN GIULIANO TERME,SAS LA CARBONAIA DI DE VEROLI & C.,MEZZANA- VIA XXV APRILE,45,circolo culturale,200
PI,SAN GIULIANO TERME,SCUOLA MEDIA PONTASSERCHIO,S. ANTONIO PONTASSERCHIO,3,Scuola,1600
PI,SAN GIULIANO TERME,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),DON L. STURZO,"",impianto di riduzione gas metano,70
PI,SAN GIULIANO TERME,ELEMENTARE GHEZZANO,"VIA MACHIAVELLI, GHEZZANO",57,Scuola,1400
PI,SAN GIULIANO TERME,SAN GIULIANO SRL,via del molino,16,IMPIANTO INDUSTRIALE,""
PI,SAN MINIATO,POSTE ITALIANE S.p.A.,VIA GOLDONI,2,Ufficio aperto al pubblico,180
PI,SAN MINIATO,POSTE ITALIANE S.p.A.,VIA DELLA GIOVENTÃ¹,6/8,Ufficio aperto al pubblico,272
PI,SAN MINIATO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),G.MARCONI,"",impianto di riduzione gas metano,130
PI,SAN MINIATO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),ROMAIANO SAN DONATO,"",impianto di riduzione gas metano,360
PI,SANTA CROCE SULL'ARNO,POSTE ITALIANE S.p.A.,VIA COPERNICO,7/9,Ufficio aperto al pubblico,856
PI,SANTA CROCE SULL'ARNO,ASSOCIAZIONE CONCIATORI SOCIETA' COOPERATIVA,AMENDOLA,5,caserma carabinieri,500
PI,SANTA CROCE SULL'ARNO,ATTIVITA' ESPRESSIVE ATTIVITA' CULTURALI,CRISTIANO BANTI,1,casa di riposo,488
PI,SANTA CROCE SULL'ARNO,ATTIVITA' ESPRESSIVE ATTIVITA' CULTURALI,PISACANE,15,Scuola,45
PI,SANTA CROCE SULL'ARNO,ATTIVITA' ESPRESSIVE ATTIVITA' CULTURALI,MILANO STAFFOLI,"",Impianto sportivo,736
PI,SANTA CROCE SULL'ARNO,Comune di Santa Croce sull'Arno,via Cristiano BAnti,1,Ospedale/Casa di cura,0
PI,SANTA CROCE SULL'ARNO,ATTIVITA' ESPRESSIVE ATTIVITA' CULTURALI,COPERNICO,5/E,Scuola,380
PI,SANTA CROCE SULL'ARNO,AUTOLINEE SEQUI SAS,VIA PACINOTTI,28/30,Autorimessa,645
provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
PI,SANTA MARIA A MONTE,POSTE ITALIANE S.p.A.,VIA 10 MAGGIO,58,Ufficio aperto al pubblico,102
PI,TERRICCIOLA,PARROCCHIA DI SAN DONATO,VIA ROMA,1,Luogo di culto,100
PI,TERRICCIOLA,COMUNE DI TERRICCIOLA,ROMA,55-63,Condominio,502
PI,TERRICCIOLA,COMUNE DI TERRICCIOLA,PROV. LE TERRICCIOLESE,1,Magazzino,564
PI,VECCHIANO,AZIENDA USL5 - PISA,VIA ROMA,"",Ospedale/Casa di cura,472
PI,VICOPISANO,IMPIANTI SPORTIVI: CIRCOLO ACLI,ORSINI,55,circolo ricreativo,196
PI,VOLTERRA,CARDUCCI,VIALE TRENTO E TRIESTE,26,Scuola,0
