,provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta,geo,coordinate,latitudine,longitudine
51,FI,FIGLINE VALDARNO,Azienda Sanitaria Firenze,VIA GIOVANNI DA VERRAZZANO,1,Centro diurno,0,FIGLINE VALDARNO VIA GIOVANNI DA VERRAZZANO,,,
52,FI,FIGLINE VALDARNO,Azienda Sanitaria Firenze,VIA GIOVANNI DA VERRAZZANO,2,Distretto socio-sanitario,0,FIGLINE VALDARNO VIA GIOVANNI DA VERRAZZANO,,,
53,FI,FIRENZE,PROFESSIONALE,VIA PANCIATICHI,,Scuola,1500,FIRENZE VIA PANCIATICHI,"(43.8004077, 11.2334545)",43.8004077,11.2334545
54,FI,FIRENZE,SCUOLA MEDIA CALAMANDREI - ROSAI,VIA PANCIATICHI,73,Scuola,1706,FIRENZE VIA PANCIATICHI,"(43.8004077, 11.2334545)",43.8004077,11.2334545
55,FI,FIRENZE,SCUOLA MEDIA CALAMANDREI - ROSAI,VIA CIRCONDARIA,15,Scuola,3148,FIRENZE VIA CIRCONDARIA,"(43.7883723, 11.2353766)",43.7883723,11.2353766
56,FI,FIRENZE,BIBLIOTECA MEDICEA LAURENZIANA,PIAZZA SAN LORENZO,9,Biblioteca,2823,FIRENZE PIAZZA SAN LORENZO,"(43.7404744, 10.974663)",43.7404744,10.974663
57,FI,FIRENZE,Biblioteca Marucelliana,VIA CAVOUR,43/47,biblioteca,2030,FIRENZE VIA CAVOUR,"(43.7781078, 11.2583481)",43.7781078,11.2583481
58,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
59,FI,FIRENZE,Azienda Agricola Settemerli di Cosimo Savio,VIA VOLTERRANA,52,stalle/ricovero attrezzi part.1412 f.148,60,FIRENZE VIA VOLTERRANA,"(43.7346081, 11.2175775)",43.7346081,11.2175775
60,FI,FIRENZE,IMPIANTI SPORTIVI: CHIESA SANTI FIORENTINI,CENTOSTELLE,11,Luogo di culto,1000,FIRENZE CENTOSTELLE,,,
61,FI,FIRENZE,PROVINCIALE DI FIRENZE,VIA DELL'AGNOLO,2,Ufficio aperto al pubblico,5200,FIRENZE VIA DELL'AGNOLO,"(43.7699387, 11.2657137)",43.7699387,11.2657137
62,FI,FIRENZE,IMPIANTI SPORTIVI: FLOG POGGETTO,M. MERCATI,24/B,Impianto sportivo,15.5,FIRENZE M. MERCATI,"(43.7948532, 11.2477038)",43.7948532,11.2477038
63,FI,FIRENZE,ISTITUTO MAGISTRALE PASCOLI,VIALE DON MINZONI,58,Scuola,0,FIRENZE VIALE DON MINZONI,"(43.7848941, 11.2651289)",43.7848941,11.2651289
64,FI,FIRENZE,COMUNE DI FIRENZE,DEL PONTORMO,90-92,Scuola,0,FIRENZE DEL PONTORMO,"(43.8173459, 11.2301904)",43.8173459,11.2301904
65,FI,FIRENZE,CASA CIRCONDARIALE MARIO GOZZINI,VIA G. MINERVINI,8R,Ufficio aperto al pubblico,0,FIRENZE VIA G. MINERVINI,"(43.7683078, 11.1716705)",43.7683078,11.1716705
66,FI,FIRENZE,PARROCCHIA SANTA MARIA A CINTOIA,VIA DEL SALETTO,9,Luogo di culto,2600,FIRENZE VIA DEL SALETTO,"(43.7781704, 11.1967026)",43.7781704,11.1967026
67,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
68,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale PIeraccini,17,Ospedale/Casa di cura,0,FIRENZE viale PIeraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
69,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
70,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
71,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
72,FI,FIRENZE,PARROCCHIA SAN MARCO VECCHIO,VIA FAENTINA,139,Magazzino,22,FIRENZE VIA FAENTINA,"(43.7915418, 11.2696589)",43.7915418,11.2696589
73,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
74,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
75,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
76,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
77,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
78,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
79,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
