,provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta,geo,coordinate,latitudine,longitudine
385,FI,VINCI,COLOROBBIA ITALIA SPA,Via Pietramarina,123,IMPIANTO INDUSTRIALE,,VINCI Via Pietramarina,"(43.7801887, 10.9672332)",43.7801887,10.9672332
386,FI,VINCI,ex fornace di vinci,VIA MERCATALE,,SITO DISMESSO,,VINCI VIA MERCATALE,"(43.7574029, 10.9118359)",43.7574029,10.9118359
0,GR,ARCIDOSSO,(PROPRIETA' COMUNALE),LOC. AIOLE,,SITO DISMESSO,,ARCIDOSSO LOC. AIOLE,,,
1,GR,ARCIDOSSO,RETE AUTOMOBILISTICA MAREMMANA AMIATINA SPA,PARCO DONATORI DEL SANGUE,70,Impianto industriale,1050,ARCIDOSSO PARCO DONATORI DEL SANGUE,"(42.8694437, 11.5421144)",42.8694437,11.5421144
2,GR,CASTEL DEL PIANO,POSTE ITALIANE S.p.A.,VIA SANTUCCI,6,Ufficio aperto al pubblico,196,CASTEL DEL PIANO VIA SANTUCCI,,,
3,GR,CASTELL'AZZARA,(PROPRIETA' COMUNALE),LOC. MORONE,,SITO DISMESSO,,CASTELL'AZZARA LOC. MORONE,,,
4,GR,CASTIGLIONE DELLA PESCAIA,POSTE ITALIANE S.p.A.,VIA GIUSEPPE PAOLINI,4,Ufficio aperto al pubblico,350,CASTIGLIONE DELLA PESCAIA VIA GIUSEPPE PAOLINI,,,
5,GR,CASTIGLIONE DELLA PESCAIA,LAVORI PUBBLICI,V.LE KENNEDY,,Scuola,0,CASTIGLIONE DELLA PESCAIA V.LE KENNEDY,"(42.7661713, 10.8658317)",42.7661713,10.8658317
6,GR,FOLLONICA,POSTE ITALIANE S.p.A.,VIA SAN GOLINO,1,Ufficio aperto al pubblico,818,FOLLONICA VIA SAN GOLINO,"(42.9241537, 10.7623544)",42.9241537,10.7623544
7,GR,FOLLONICA,FOLLONICA - INDIRIZZI DI STUDI: ISTITUTO TECNICO,VIALE EUROPA,1,Scuola,1990,FOLLONICA VIALE EUROPA,"(42.9177298, 10.7679983)",42.9177298,10.7679983
8,GR,FOLLONICA,IMPIANTI SPORTIVI: IPPODROMO DEI PINI,VIA MASSETANA,,ippodromo,0,FOLLONICA VIA MASSETANA,"(42.9304543, 10.7710432)",42.9304543,10.7710432
9,GR,FOLLONICA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',BICOCCHI,2,LOCALI AD USO BAGNI SCUOLA,41,FOLLONICA BICOCCHI,"(42.9596234, 10.7670972733)",42.9596234,10.7670972733
10,GR,FOLLONICA,IMPIANTI SPORTIVI: CLUB NAUTICO - C.P. 169,VIALE ITALIA,,Impianto sportivo,102.81,FOLLONICA VIALE ITALIA,"(42.940824, 10.7139784)",42.940824,10.7139784
11,GR,FOLLONICA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',BICOCCHI,2,FALEGNAMERIA,202,FOLLONICA BICOCCHI,"(42.9596234, 10.7670972733)",42.9596234,10.7670972733
12,GR,FOLLONICA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',BICOCCHI,2,0fficina,138,FOLLONICA BICOCCHI,"(42.9596234, 10.7670972733)",42.9596234,10.7670972733
13,GR,FOLLONICA,ATM SPA,DELL' INDUSTRIA,44,Autorimessa,300,FOLLONICA DELL' INDUSTRIA,,,
14,GR,FOLLONICA,Gruppo Dilettantistico Vela L.N.I.,VIALE ITALIA,203,sede circolo velico,100,FOLLONICA VIALE ITALIA,"(42.940824, 10.7139784)",42.940824,10.7139784
15,GR,FOLLONICA,CIRCOLO DIDATTICO DI FOLLONICA,VARSAVIA,5,Scuola,2858,FOLLONICA VARSAVIA,,,
16,GR,GAVORRANO,COMUNE DI GAVORRANO,GAVORRANO,5,centro sociale,298,GAVORRANO GAVORRANO,"(42.9478646, 10.9337975)",42.9478646,10.9337975
17,GR,GAVORRANO,COMUNE DI GAVORRANO,ROMA RAVI,,Cinema/teatro/spettacoli,470,GAVORRANO ROMA RAVI,,,
18,GR,GAVORRANO,COMUNE DI GAVORRANO,MORANDI BAGNO DI GAVORRANO,2,Impianto sportivo,27500,GAVORRANO MORANDI BAGNO DI GAVORRANO,,,
19,GR,GAVORRANO,COMUNE DI GAVORRANO,DELLA PALESTRA,,W.C. PUBBLICI,60,GAVORRANO DELLA PALESTRA,"(42.9255225, 10.90687)",42.9255225,10.90687
20,GR,GAVORRANO,COMUNE DI GAVORRANO,CURIEL BAGNO DI GAVORRANO,6,centrogiovani,370,GAVORRANO CURIEL BAGNO DI GAVORRANO,,,
21,GR,GAVORRANO,COMUNE DI GAVORRANO,DI GAVORRANO,20,Impianto sportivo,2470,GAVORRANO DI GAVORRANO,"(42.9252484, 10.9769024)",42.9252484,10.9769024
22,GR,GAVORRANO,COMUNE DI GAVORRANO,PIAZZA BUOZZI,16,Ufficio aperto al pubblico,1070,GAVORRANO PIAZZA BUOZZI,,,
23,GR,GAVORRANO,COMUNE DI GAVORRANO,OMBRONE POTASSA,7,centro sociale-ambulatorio,170,GAVORRANO OMBRONE POTASSA,,,
24,GR,GAVORRANO,COMUNE DI GAVORRANO,GIUSTI,38,centro sociale-ambulatorio,115,GAVORRANO GIUSTI,"(42.9272491, 10.8955303)",42.9272491,10.8955303
25,GR,GAVORRANO,COMUNE DI GAVORRANO,PIAZZA XXIV MAGGIO,1,Ufficio aperto al pubblico,273,GAVORRANO PIAZZA XXIV MAGGIO,"(42.8944738, 10.9261806)",42.8944738,10.9261806
26,GR,GAVORRANO,COMUNE DI GAVORRANO,DELLA FINORIA,,Impianto sportivo,45,GAVORRANO DELLA FINORIA,"(42.9243779, 10.9100057)",42.9243779,10.9100057
27,GR,GAVORRANO,COMUNE DI GAVORRANO,NENNI,2,Scuola,340,GAVORRANO NENNI,"(42.9283306, 10.908703)",42.9283306,10.908703
28,GR,GAVORRANO,COMUNE DI GAVORRANO,MATTEOTTI,20,Cinema/teatro/spettacoli,550,GAVORRANO MATTEOTTI,"(42.9062455, 10.9901414)",42.9062455,10.9901414
29,GR,GAVORRANO,SCUOLA MEDIA G. BANDI,DELLE SCUOLE,14,Scuola,2220,GAVORRANO DELLE SCUOLE,"(42.924896, 10.9075624)",42.924896,10.9075624
30,GR,GROSSETO,RETE AUTOMOBILISTICA MAREMMANA AMIATINA SPA,VIA TOPAZIO,12,Impianto industriale,3760,GROSSETO VIA TOPAZIO,"(42.7905029, 11.0927142)",42.7905029,11.0927142
31,GR,GROSSETO,arpat,FIUME,35,uffici e laboratori,0,GROSSETO FIUME,"(42.5981208, 11.2347506)",42.5981208,11.2347506
32,GR,GROSSETO,SAN LORENZO LATERIZI SRL,SCANSANESE,202,IMPIANTO INDUSTRIALE,,GROSSETO SCANSANESE,"(42.7779145, 11.2034714)",42.7779145,11.2034714
33,GR,GROSSETO,ISTITUTO TECNICO COMMERCIALE,VIA SICILIA,45,Scuola,0,GROSSETO VIA SICILIA,"(42.7676803, 11.1143231)",42.7676803,11.1143231
34,GR,GROSSETO,PARROCCHIA DEL SACRO CUORE,PIAZZA GALEAZZI,1,Luogo di culto,0,GROSSETO PIAZZA GALEAZZI,,,
35,GR,ISOLA DEL GIGLIO,COMUNE DI ISOLA DEL GIGLIO,VIA DELLA CISTERNA,1,Magazzino,26,ISOLA DEL GIGLIO VIA DELLA CISTERNA,"(42.3656636, 10.9004099)",42.3656636,10.9004099
36,GR,ISOLA DEL GIGLIO,COMUNE DI ISOLA DEL GIGLIO,VIA TRENTO,2,EDIFICIO DEMOLITO EX SCUOLA,50,ISOLA DEL GIGLIO VIA TRENTO,"(42.3596448, 10.9188791)",42.3596448,10.9188791
37,GR,ISOLA DEL GIGLIO,COMUNE DI ISOLA DEL GIGLIO,CAMPESE,1,Ufficio aperto al pubblico,85,ISOLA DEL GIGLIO CAMPESE,"(42.3687806, 10.8814092)",42.3687806,10.8814092
38,GR,MAGLIANO IN TOSCANA,STAZIONE CARABINIERI,VIA IV NOVEMBRE,12,Ufficio aperto al pubblico,300,MAGLIANO IN TOSCANA VIA IV NOVEMBRE,"(42.5976014, 11.2940342)",42.5976014,11.2940342
39,GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',DARIO,,TETTOIA PER CAPRE,118,MASSA MARITTIMA DARIO,,,
40,GR,MASSA MARITTIMA,ISTITUTO TECNICO INDUSTRIALE B. LOTTI,VIA MARTIRI DELLA NICCIOLETA,1,Scuola,0,MASSA MARITTIMA VIA MARTIRI DELLA NICCIOLETA,,,
42,GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',DARIO,,PORCILAIA,780,MASSA MARITTIMA DARIO,,,
43,GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',DARIO,,PORCILAIA,702,MASSA MARITTIMA DARIO,,,
44,GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',DARIO,,PORCILAIA,76,MASSA MARITTIMA DARIO,,,
45,GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',DARIO,,MANGIMIFICIO,231,MASSA MARITTIMA DARIO,,,
46,GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MARSILIANA,,STALLA PER BOVINI,3895,MASSA MARITTIMA MARSILIANA,"(43.0411201, 10.8218754)",43.0411201,10.8218754
47,GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MARSILIANA,,OFFICINA MECCANICA,141,MASSA MARITTIMA MARSILIANA,"(43.0411201, 10.8218754)",43.0411201,10.8218754
48,GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MARSILIANA,,TETTOIA,170,MASSA MARITTIMA MARSILIANA,"(43.0411201, 10.8218754)",43.0411201,10.8218754
49,GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MARSILIANA,,TORRETTA BELVEDERE,30,MASSA MARITTIMA MARSILIANA,"(43.0411201, 10.8218754)",43.0411201,10.8218754
50,GR,MASSA MARITTIMA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',IMPOSTO DI CAFAGGIOLO,,Magazzino,86,MASSA MARITTIMA IMPOSTO DI CAFAGGIOLO,,,
51,GR,MASSA MARITTIMA,PENSIONATO SAN GIUSEPPE,VIALE GRAMSCI,7,abitazione,53,MASSA MARITTIMA VIALE GRAMSCI,"(43.022054, 11.026807)",43.022054,11.026807
52,GR,MONTE ARGENTARIO,POSTE ITALIANE S.p.A.,VIA CAMPAGNATICO,1,Ufficio aperto al pubblico,222,MONTE ARGENTARIO VIA CAMPAGNATICO,"(42.3975036, 11.2001955)",42.3975036,11.2001955
53,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,S. Edoardo 2 - Limite conc.,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO S. Edoardo 2 - Limite conc.,,,
54,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 4 - Nodo 5,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Nodo 4 - Nodo 5,,,
55,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 15 - Nodo 16,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Nodo 15 - Nodo 16,,,
56,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Diga 3 - Nodo 6,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Diga 3 - Nodo 6,,,
57,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Monterot. 21 - Nodo 4,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Monterot. 21 - Nodo 4,,,
58,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 3 - Nodo 4,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Nodo 3 - Nodo 4,,,
59,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 1 - Nodo 2,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Nodo 1 - Nodo 2,,,
60,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,lago 3 - nodo 3,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO lago 3 - nodo 3,,,
61,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Lago 128 - Nodo 7,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Lago 128 - Nodo 7,,,
62,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,S.Edoardo 1 - Nodo 2,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO S.Edoardo 1 - Nodo 2,,,
63,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Lago 127 - Nodo 6,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Lago 127 - Nodo 6,,,
64,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Diga - Nodo 5,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Diga - Nodo 5,,,
65,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Tassinaie - Nodo 4,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Tassinaie - Nodo 4,,,
66,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Convento - Nodo 3,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Convento - Nodo 3,,,
67,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 7 - Nodo 88,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Nodo 7 - Nodo 88,,,
68,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 2 - Limite concess.,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Nodo 2 - Limite concess.,,,
69,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 5 - Nodo 6,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Nodo 5 - Nodo 6,,,
70,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Fattoria 1 - Nodo 2,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Fattoria 1 - Nodo 2,,,
71,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Limite conc. - Nodo 1 parte 2,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Limite conc. - Nodo 1 parte 2,,,
72,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Limite conc. - Nodo 1 parte 1,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Limite conc. - Nodo 1 parte 1,,,
73,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Lago 7 - Nodo 15,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Lago 7 - Nodo 15,,,
74,GR,MONTEROTONDO MARITTIMO,Enel - Unità territoriale di Lago,Nodo 6 - Nodo 7,,IMPIANTO GEOTERMIA,,MONTEROTONDO MARITTIMO Nodo 6 - Nodo 7,,,
75,GR,ORBETELLO,RETE AUTOMOBILISTICA MAREMMANA AMIATINA SPA,SCALO,,Impianto industriale,1250,ORBETELLO SCALO,"(42.4489851, 11.2487763)",42.4489851,11.2487763
76,GR,ORBETELLO,POSTE ITALIANE S.p.A.,VIA PIETRO ALDI,30,Ufficio aperto al pubblico,125,ORBETELLO VIA PIETRO ALDI,"(42.5008054, 11.2061626)",42.5008054,11.2061626
77,GR,PITIGLIANO,IMPIANTI SPORTIVI: PISCINA COMUNALE,CASONE,,CENTRO SOCIALE,420,PITIGLIANO CASONE,"(42.6512949, 11.7701889)",42.6512949,11.7701889
78,GR,PITIGLIANO,IMPIANTI SPORTIVI: PISCINA COMUNALE,IL PIANO,,Magazzino,560,PITIGLIANO IL PIANO,"(42.5878422, 11.5773242)",42.5878422,11.5773242
79,GR,PITIGLIANO,POSTE ITALIANE S.p.A.,VIA BRUSCALUPI,1,Ufficio aperto al pubblico,222,PITIGLIANO VIA BRUSCALUPI,"(42.6338763, 11.6719391)",42.6338763,11.6719391
80,GR,PITIGLIANO,IMPIANTI SPORTIVI: PISCINA COMUNALE,VALLE ORIENTINA,,Impianto sportivo,850,PITIGLIANO VALLE ORIENTINA,,,
81,GR,POMARANCE,Enel - Unità territoriale di Lago,Querciola 1 - Nodo 32 bis,,IMPIANTO GEOTERMIA,,POMARANCE Querciola 1 - Nodo 32 bis,,,
82,GR,ROCCASTRADA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',CASA NUOVA,,PENSILINA STALLA VECCHIA,39,ROCCASTRADA CASA NUOVA,,,
84,GR,ROCCASTRADA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',CASA NUOVA,,STALLA PER EQUINI,684,ROCCASTRADA CASA NUOVA,,,
85,GR,ROCCASTRADA,UFFICIO TERRITORIALE PER LA BIODIVERSITA',CASA NUOVA,,PENSILINE STALLA TOSI,82,ROCCASTRADA CASA NUOVA,,,
86,GR,SANTA FIORA,STAZIONE CARABINIERI,VIA AMIATA,22,caserma carbinieri,285,SANTA FIORA VIA AMIATA,"(42.8314206, 11.5856271)",42.8314206,11.5856271
87,GR,SCANSANO,POSTE ITALIANE S.p.A.,VIA DIAZ,24,Ufficio aperto al pubblico,196,SCANSANO VIA DIAZ,"(42.6870746, 11.3322866)",42.6870746,11.3322866
88,GR,SCARLINO,UFFICIO TERRITORIALE PER LA BIODIVERSITA',PINETA DI LEVANTE,,Luogo di culto,39,SCARLINO PINETA DI LEVANTE,,,
89,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
90,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
91,GR,SCARLINO,NUOVA SOLMINE SPA,casone,,IMPIANTO INDUSTRIALE,,SCARLINO casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
92,GR,SCARLINO,NUOVA SOLMINE SPA,Casone,,IMPIANTO INDUSTRIALE,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
93,GR,SCARLINO,NUOVA SOLMINE SPA,Casone,,IMPIANTO INDUSTRIALE,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
94,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
95,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
96,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
97,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
98,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
99,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
100,GR,SCARLINO,NUOVA SOLMINE SPA,Casone,,IMPIANTO INDUSTRIALE,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
101,GR,SCARLINO,NUOVA SOLMINE SPA,Casone,,IMPIANTO INDUSTRIALE,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
102,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
103,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
104,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
105,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
106,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
107,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
108,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
109,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
110,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
111,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
112,GR,SCARLINO,Tioxide Europe srl,Casone,,IMPIANTO INDUSTRIALE GEN,,SCARLINO Casone,"(42.9238737, 10.7979349)",42.9238737,10.7979349
0,LI,BIBBONA,COMUNE DI BIBBONA,VIA S. ROCCO,,Scuola,0,BIBBONA VIA S. ROCCO,"(43.2690989, 10.6051316)",43.2690989,10.6051316
1,LI,BIBBONA,COMUNE DI BIBBONA,PIAZZA L. DA VINCI,,Scuola,0,BIBBONA PIAZZA L. DA VINCI,,,
2,LI,BIBBONA,COMUNE DI BIBBONA,VIA DELLE MIMOSE,4,centro sociale,615,BIBBONA VIA DELLE MIMOSE,,,
3,LI,BIBBONA,COMUNE DI BIBBONA,VIA II GIUGNO,,Ufficio aperto al pubblico,200,BIBBONA VIA II GIUGNO,,,
4,LI,BIBBONA,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,della stazione,,"casa cantoniera, km 279+991",122,BIBBONA della stazione,"(43.24468335, 10.5507347)",43.24468335,10.5507347
5,LI,BIBBONA,Le Capanne s.r.l.,VIA AURELIA KM 273,km273,Esercizio commerciale,248,BIBBONA VIA AURELIA KM 273,,,
6,LI,CAMPIGLIA MARITTIMA,POSTE ITALIANE S.p.A.,VIA LABRIOLA,1,Ufficio aperto al pubblico,307,CAMPIGLIA MARITTIMA VIA LABRIOLA,"(43.0278579, 10.6010136)",43.0278579,10.6010136
7,LI,CAMPIGLIA MARITTIMA,POSTE ITALIANE S.p.A.,VIA VENETO,10,Ufficio aperto al pubblico,143,CAMPIGLIA MARITTIMA VIA VENETO,"(43.0590838, 10.6148479)",43.0590838,10.6148479
8,LI,CAMPIGLIA MARITTIMA,PARCO ARCHEOMINERARIO DI SAN SILVESTRO,DEL TEMPERINO,6,edificio industriale abbandonato,30,CAMPIGLIA MARITTIMA DEL TEMPERINO,"(43.0753259, 10.6183176)",43.0753259,10.6183176
9,LI,CAMPO NELL'ELBA,Gest. AL. srl,VIALE DEGLI ETRUSCHI,333,,1200,CAMPO NELL'ELBA VIALE DEGLI ETRUSCHI,"(42.7516748, 10.2401963)",42.7516748,10.2401963
10,LI,CAMPO NELL'ELBA,POSTE ITALIANE S.p.A.,CAMPO,19,Ufficio aperto al pubblico,58,CAMPO NELL'ELBA CAMPO,"(42.748017, 10.233316)",42.748017,10.233316
11,LI,CASTAGNETO CARDUCCI,POSTE ITALIANE S.p.A.,VIA PIAVE,9,Ufficio aperto al pubblico,188,CASTAGNETO CARDUCCI VIA PIAVE,"(43.1692692, 10.5657322)",43.1692692,10.5657322
12,LI,CASTAGNETO CARDUCCI,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,STAZIONE DI BOLGHERI,,SERBATOI ACQUA DISTILLATA,0,CASTAGNETO CARDUCCI STAZIONE DI BOLGHERI,,,
13,LI,CASTAGNETO CARDUCCI,Le Pianacce s.r.l.,LE PIANACCE,,Esercizio commerciale,35,CASTAGNETO CARDUCCI LE PIANACCE,"(43.1644101, 10.6162623695)",43.1644101,10.6162623695
14,LI,CECINA,zuccherificio,VIA GINORI,,SITO DISMESSO,,CECINA VIA GINORI,"(43.3061717, 10.5017826)",43.3061717,10.5017826
15,LI,CECINA,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,STAZIONE DI CECINA,,Bocciodromo DLF,0,CECINA STAZIONE DI CECINA,,,
16,LI,CECINA,CASA MAFFI,AURELIA NORD,7,Ospedale/Casa di cura,315,CECINA AURELIA NORD,"(43.3324105, 10.5258404)",43.3324105,10.5258404
17,LI,CECINA,I.S.I.S. Marco Polo - C. Cattaneo,MARRUCCI,8,Scuola,0,CECINA MARRUCCI,"(43.3132009, 10.5186884)",43.3132009,10.5186884
18,LI,CECINA,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,STAZIONE DI CECINA,,deposito materiali,25,CECINA STAZIONE DI CECINA,,,
19,LI,CECINA,NENCINI LATERIZI SPA,SALAIOLA,28,IMPIANTO INDUSTRIALE,,CECINA SALAIOLA,,,
20,LI,CECINA,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,STAZIONE DI CECINA,,POSTO DI GUARDIA IS,0,CECINA STAZIONE DI CECINA,,,
21,LI,CECINA,RFI S.P.A. - UNITA' TERRITORIALE LIVORNO,STAZIONE DI CECINA,,Magazzino,0,CECINA STAZIONE DI CECINA,,,
22,LI,COLLESALVETTI,POSTE ITALIANE S.p.A.,VIA MARX,11,Ufficio aperto al pubblico,222,COLLESALVETTI VIA MARX,"(43.5907283, 10.3519522)",43.5907283,10.3519522
23,LI,COLLESALVETTI,La Toscana Impianti,via aurelia,7,IMPIANTO INDUSTRIALE GEN,,COLLESALVETTI via aurelia,"(43.5760083, 10.3484354)",43.5760083,10.3484354
24,LI,COLLESALVETTI,OMI srl,via Aurelia,7,IMPIANTO INDUSTRIALE GEN,,COLLESALVETTI via Aurelia,"(43.5760083, 10.3484354)",43.5760083,10.3484354
25,LI,COLLESALVETTI,PROVINCIA DI LIVORNO,PARRANA-S. GIUSTO,,Capannone industriale,0,COLLESALVETTI PARRANA-S. GIUSTO,"(43.5247761, 10.4468436)",43.5247761,10.4468436
26,LI,COLLESALVETTI,ENI SPA Div. R&M Raffineria di Livorno,via Aurelia,7,IMPIANTO INDUSTRIALE,,COLLESALVETTI via Aurelia,"(43.5760083, 10.3484354)",43.5760083,10.3484354
27,LI,COLLESALVETTI,ENI SPA Div. R&M Raffineria di Livorno,via Aurelia,7,IMPIANTO INDUSTRIALE,,COLLESALVETTI via Aurelia,"(43.5760083, 10.3484354)",43.5760083,10.3484354
28,LI,COLLESALVETTI,ENI SPA Div. R&M Raffineria di Livorno,via Aurelia,7,IMPIANTO INDUSTRIALE,,COLLESALVETTI via Aurelia,"(43.5760083, 10.3484354)",43.5760083,10.3484354
29,LI,COLLESALVETTI,ENI SPA Div. R&M Raffineria di Livorno,via Aurelia,7,IMPIANTO INDUSTRIALE,,COLLESALVETTI via Aurelia,"(43.5760083, 10.3484354)",43.5760083,10.3484354
